
[TRAIN]------------------2022-03-23 04:20:42------------------

[TRAIN]------------------2022-03-23 04:22:07------------------
IT 164, LR 0.001000, TEER/TAcc 34.67, TLOSS 4.370900
IT 165, LR 0.001000, TEER/TAcc 34.07, TLOSS 4.379959
IT 166, LR 0.001000, TEER/TAcc 35.52, TLOSS 4.302146
IT 167, LR 0.001000, TEER/TAcc 35.29, TLOSS 4.302263
IT 168, LR 0.001000, TEER/TAcc 34.69, TLOSS 4.343867
IT 169, LR 0.001000, TEER/TAcc 34.97, TLOSS 4.345716
IT 170, LR 0.001000, TEER/TAcc 34.63, TLOSS 4.342377, VEER 10.9707, MINEER 10.9707
IT 171, LR 0.001000, TEER/TAcc 35.65, TLOSS 4.345354
IT 172, LR 0.001000, TEER/TAcc 35.30, TLOSS 4.333168
IT 173, LR 0.001000, TEER/TAcc 35.51, TLOSS 4.353325
IT 174, LR 0.001000, TEER/TAcc 35.08, TLOSS 4.331757
IT 175, LR 0.001000, TEER/TAcc 36.60, TLOSS 4.254772
IT 176, LR 0.001000, TEER/TAcc 35.57, TLOSS 4.234742
IT 177, LR 0.001000, TEER/TAcc 36.06, TLOSS 4.246926
IT 178, LR 0.001000, TEER/TAcc 36.00, TLOSS 4.284873
IT 179, LR 0.001000, TEER/TAcc 36.04, TLOSS 4.257951
IT 180, LR 0.001000, TEER/TAcc 35.83, TLOSS 4.273955, VEER 11.0177, MINEER 10.9707
IT 181, LR 0.001000, TEER/TAcc 35.40, TLOSS 4.325816
IT 182, LR 0.001000, TEER/TAcc 36.43, TLOSS 4.249567
IT 183, LR 0.001000, TEER/TAcc 35.84, TLOSS 4.268921
IT 184, LR 0.001000, TEER/TAcc 36.68, TLOSS 4.217319
IT 185, LR 0.001000, TEER/TAcc 35.73, TLOSS 4.288492
IT 186, LR 0.001000, TEER/TAcc 36.40, TLOSS 4.275560
IT 187, LR 0.001000, TEER/TAcc 36.42, TLOSS 4.219870
IT 188, LR 0.001000, TEER/TAcc 36.24, TLOSS 4.216886
IT 189, LR 0.001000, TEER/TAcc 37.95, TLOSS 4.195161
IT 190, LR 0.001000, TEER/TAcc 36.14, TLOSS 4.249945, VEER 10.4934, MINEER 10.4934
IT 191, LR 0.001000, TEER/TAcc 36.74, TLOSS 4.184402
IT 192, LR 0.001000, TEER/TAcc 37.29, TLOSS 4.231444
IT 193, LR 0.001000, TEER/TAcc 36.14, TLOSS 4.249704
IT 194, LR 0.001000, TEER/TAcc 36.60, TLOSS 4.235178
IT 195, LR 0.001000, TEER/TAcc 36.01, TLOSS 4.259203
IT 196, LR 0.001000, TEER/TAcc 38.01, TLOSS 4.160375
IT 197, LR 0.001000, TEER/TAcc 36.05, TLOSS 4.276248
IT 198, LR 0.001000, TEER/TAcc 36.42, TLOSS 4.269529
IT 199, LR 0.001000, TEER/TAcc 37.07, TLOSS 4.171240
IT 200, LR 0.001000, TEER/TAcc 37.39, TLOSS 4.196297, VEER 11.1858, MINEER 10.4934
IT 201, LR 0.001000, TEER/TAcc 37.97, TLOSS 4.214477
IT 202, LR 0.001000, TEER/TAcc 37.69, TLOSS 4.168695
IT 203, LR 0.001000, TEER/TAcc 37.70, TLOSS 4.136143
IT 204, LR 0.001000, TEER/TAcc 38.58, TLOSS 4.115013
IT 205, LR 0.001000, TEER/TAcc 37.84, TLOSS 4.146010
IT 206, LR 0.001000, TEER/TAcc 38.78, TLOSS 4.093503
IT 207, LR 0.001000, TEER/TAcc 38.77, TLOSS 4.142762
IT 208, LR 0.001000, TEER/TAcc 38.61, TLOSS 4.153060
IT 209, LR 0.001000, TEER/TAcc 37.86, TLOSS 4.148960
IT 210, LR 0.001000, TEER/TAcc 37.80, TLOSS 4.128225, VEER 11.2329, MINEER 10.4934
IT 211, LR 0.001000, TEER/TAcc 38.74, TLOSS 4.133429
IT 212, LR 0.001000, TEER/TAcc 38.44, TLOSS 4.149983
IT 213, LR 0.001000, TEER/TAcc 37.86, TLOSS 4.167735
IT 214, LR 0.001000, TEER/TAcc 38.92, TLOSS 4.111366
IT 215, LR 0.001000, TEER/TAcc 38.60, TLOSS 4.071815
IT 216, LR 0.001000, TEER/TAcc 38.33, TLOSS 4.161871
IT 217, LR 0.001000, TEER/TAcc 38.74, TLOSS 4.138951
IT 218, LR 0.001000, TEER/TAcc 39.40, TLOSS 4.062911
IT 219, LR 0.001000, TEER/TAcc 38.88, TLOSS 4.074667
IT 220, LR 0.001000, TEER/TAcc 39.14, TLOSS 4.056361, VEER 11.2799, MINEER 10.4934
IT 221, LR 0.001000, TEER/TAcc 39.27, TLOSS 4.049657
IT 222, LR 0.001000, TEER/TAcc 37.93, TLOSS 4.140802
IT 223, LR 0.001000, TEER/TAcc 39.07, TLOSS 4.106168
IT 224, LR 0.001000, TEER/TAcc 38.53, TLOSS 4.140487
IT 225, LR 0.001000, TEER/TAcc 39.23, TLOSS 4.073089
IT 226, LR 0.001000, TEER/TAcc 39.54, TLOSS 4.112477
IT 227, LR 0.001000, TEER/TAcc 39.21, TLOSS 4.007337
IT 228, LR 0.001000, TEER/TAcc 39.61, TLOSS 4.054980
IT 229, LR 0.001000, TEER/TAcc 39.85, TLOSS 3.996137
IT 230, LR 0.001000, TEER/TAcc 39.17, TLOSS 4.071880, VEER 11.1320, MINEER 10.4934
IT 231, LR 0.001000, TEER/TAcc 39.99, TLOSS 4.026895
IT 232, LR 0.001000, TEER/TAcc 40.30, TLOSS 4.005085
IT 233, LR 0.001000, TEER/TAcc 39.50, TLOSS 4.066836
IT 234, LR 0.001000, TEER/TAcc 39.40, TLOSS 4.037062
IT 235, LR 0.001000, TEER/TAcc 38.75, TLOSS 4.077038
IT 236, LR 0.001000, TEER/TAcc 39.89, TLOSS 4.029307
IT 237, LR 0.001000, TEER/TAcc 39.65, TLOSS 4.052312
IT 238, LR 0.001000, TEER/TAcc 39.90, TLOSS 4.021453
IT 239, LR 0.001000, TEER/TAcc 40.36, TLOSS 4.008934
IT 240, LR 0.001000, TEER/TAcc 39.63, TLOSS 4.040330, VEER 11.3875, MINEER 10.4934
IT 241, LR 0.001000, TEER/TAcc 40.42, TLOSS 4.019979
IT 242, LR 0.001000, TEER/TAcc 40.31, TLOSS 4.017265
IT 243, LR 0.001000, TEER/TAcc 39.89, TLOSS 4.007016
IT 244, LR 0.001000, TEER/TAcc 39.07, TLOSS 4.103253
IT 245, LR 0.001000, TEER/TAcc 40.38, TLOSS 4.004067
IT 246, LR 0.001000, TEER/TAcc 40.69, TLOSS 3.999183
IT 247, LR 0.001000, TEER/TAcc 40.55, TLOSS 3.945937
IT 248, LR 0.001000, TEER/TAcc 40.53, TLOSS 3.970065
IT 249, LR 0.001000, TEER/TAcc 40.37, TLOSS 3.992312
IT 250, LR 0.001000, TEER/TAcc 41.05, TLOSS 3.994580, VEER 13.4445, MINEER 10.4934
IT 251, LR 0.001000, TEER/TAcc 40.36, TLOSS 3.972840
IT 252, LR 0.001000, TEER/TAcc 39.63, TLOSS 4.022162
IT 253, LR 0.001000, TEER/TAcc 40.36, TLOSS 4.046223
IT 254, LR 0.001000, TEER/TAcc 40.09, TLOSS 3.975942
IT 255, LR 0.001000, TEER/TAcc 40.73, TLOSS 3.922918
IT 256, LR 0.001000, TEER/TAcc 41.35, TLOSS 3.923036
IT 257, LR 0.001000, TEER/TAcc 39.92, TLOSS 4.050002
IT 258, LR 0.001000, TEER/TAcc 40.70, TLOSS 3.939675
IT 259, LR 0.001000, TEER/TAcc 41.65, TLOSS 3.905913
IT 260, LR 0.001000, TEER/TAcc 41.42, TLOSS 3.930947, VEER 10.3926, MINEER 10.3926
IT 261, LR 0.001000, TEER/TAcc 41.15, TLOSS 4.009910
IT 262, LR 0.001000, TEER/TAcc 41.86, TLOSS 3.880970
IT 263, LR 0.001000, TEER/TAcc 40.99, TLOSS 3.929665
IT 264, LR 0.001000, TEER/TAcc 40.60, TLOSS 3.946265
IT 265, LR 0.001000, TEER/TAcc 41.13, TLOSS 3.979167
IT 266, LR 0.001000, TEER/TAcc 41.18, TLOSS 3.932642
IT 267, LR 0.001000, TEER/TAcc 39.87, TLOSS 4.029538
IT 268, LR 0.001000, TEER/TAcc 40.40, TLOSS 3.996870
IT 269, LR 0.001000, TEER/TAcc 41.48, TLOSS 3.878919
IT 270, LR 0.001000, TEER/TAcc 41.93, TLOSS 3.901173, VEER 10.9640, MINEER 10.3926
IT 271, LR 0.001000, TEER/TAcc 42.57, TLOSS 3.867324
IT 272, LR 0.001000, TEER/TAcc 40.99, TLOSS 3.919891
IT 273, LR 0.001000, TEER/TAcc 42.02, TLOSS 3.881871
IT 274, LR 0.001000, TEER/TAcc 41.57, TLOSS 3.895681
IT 275, LR 0.001000, TEER/TAcc 42.50, TLOSS 3.863789
IT 276, LR 0.001000, TEER/TAcc 41.65, TLOSS 3.897879
IT 277, LR 0.001000, TEER/TAcc 42.16, TLOSS 3.855784
IT 278, LR 0.001000, TEER/TAcc 42.24, TLOSS 3.877337
IT 279, LR 0.001000, TEER/TAcc 41.42, TLOSS 3.882937
IT 280, LR 0.001000, TEER/TAcc 41.63, TLOSS 3.903580, VEER 10.5405, MINEER 10.3926
IT 281, LR 0.001000, TEER/TAcc 41.94, TLOSS 3.855524
IT 282, LR 0.001000, TEER/TAcc 42.15, TLOSS 3.891426
IT 283, LR 0.001000, TEER/TAcc 41.74, TLOSS 3.903491
IT 284, LR 0.001000, TEER/TAcc 42.39, TLOSS 3.850425
IT 285, LR 0.001000, TEER/TAcc 41.75, TLOSS 3.865636
IT 286, LR 0.001000, TEER/TAcc 42.75, TLOSS 3.843774
IT 287, LR 0.001000, TEER/TAcc 42.17, TLOSS 3.843534
IT 288, LR 0.001000, TEER/TAcc 43.24, TLOSS 3.832736
